group,channel,tvg_id,etvhosts,backup,hostengine,macportal
Tennis,Tennis Channel,Tennis.Channel.HD.us2,[43978;],[],[249142;],[]
Tennis,Sky Sports Tennis,Sky.Sports.Tennis.HD.ie,[59174;],[],[295285;],[1454232;]
Tennis,TSN 1,TSN.1.ca2,[57428;44208;],[6521;],[53805;338754;],[2077049;]
Tennis,TSN 2,TSN.2.ca2,[57429;44209;],[6492;],[53806;338755;],[2077048;]
Tennis,TSN 3,TSN.3.ca2,[57430;44207;],[6522;],[53807;338756;],[2077047;]
Tennis,TSN 4,TSN.4.ca2,[57431;44206;],[6445;],[53808;338757;],[2077046;]
Tennis,TSN 5,TSN.5.ca2,[57432;44205;],[6517;],[53809;339499;],[2077045;]
Football,DAZN 1,DAZN.1.pt,[60023;60024;60025;60026;],[31954;],[58550;],[]
Football,Sky Sports Main Event,Sky.Sports.Main.Event.ie,[16571;58925;16563;59265;],[9308;],[53982;],[1905853;]
Football,Sky Sports Premier League,Sky.Sports.Premier.League.ie,[16559;58924;],[9334;],[53986;],[83447;]
Football,USA Network,USA.Network.HD.us2,[43964;19270;],[1101;],[53307;285398;],[]
General,ESPN,ESPN.HD.us2,[60190;44044;],[19156;],[55060;],[]
General,ESPN 2,ESPN2.HD.us2,[60192;44043;],[19155;],[55061;],[]
General,Sky Sports Plus,Sky.Sports.Plus.ie,[58918;16566;],[],[53977;],[1458663;]
General,TNT Sports 1,TNT.Sports.1.ie,[16552;43128;],[6566;6565;2505;],[53850;],[30567;]
General,TNT Sports 2,TNT.Sports.2.ie,[16551;43126;],[2506;],[53851;],[30566;]
General,TNT Sports 3,TNT.Sports.3.ie,[16550;43124;],[6564;],[53852;],[30565;]
General,TNT Sports 4,TNT.Sports.4.ie,[16549;57420;],[19054;],[53853;],[1905810;]
